,z0,tout,s,i,t1,t2,sp0,m,rh
1876,23.6099794609,1.35,129.25,13376.7141446,23.6099794609,23.6099523781,23.61,1.18103114901,0.0
1877,23.6099799942,1.4,121.0,13376.7141446,23.6099799942,23.6100077327,23.61,1.18103114901,0.0
1878,23.6099939468,1.45,119.666666667,13376.7141446,23.6099939468,23.6099584181,23.61,1.18103114901,0.0
1879,23.6100695524,1.5,118.333333333,13376.7141446,23.6100695524,23.6099647722,23.61,1.18103114901,0.0
1880,23.6102697025,1.55,117.0,13376.7141446,23.6102697025,23.610095437,23.61,1.18103114901,0.0
1881,23.6099297319,1.6,115.666666667,13376.7141446,23.6099297319,23.6100927301,23.61,1.18103114901,0.0
1882,23.6102392153,1.65,114.333333333,13376.7141446,23.6102392153,23.609781476,23.61,1.18103114901,0.0
1883,23.6104033661,1.7,113.0,13376.7141446,23.6104033661,23.6098479497,23.61,1.18103114901,0.0
1884,23.835444715,1.7,111.666666667,13376.7141446,23.835444715,23.8272095741,23.84,1.18103114901,0.0
1885,23.8396653412,1.7,110.333333333,13376.7141446,23.8396653412,23.8391593837,23.84,1.18103114901,0.0
1886,23.8396976286,1.7,109.0,13376.7141446,23.8396976286,23.840214759,23.84,1.18103114901,0.0
1887,23.8401803683,1.7,107.666666667,13376.7141446,23.8401803683,23.8403391105,23.84,1.18103114901,0.0
1888,23.8402637417,1.7,106.333333333,13376.7141446,23.8402637417,23.8398207974,23.84,1.18103114901,0.0
1889,23.8405565005,1.7,105.0,13376.7141446,23.8405565005,23.839548251,23.84,1.18103114901,0.0
1890,23.8397203053,1.7,104.166666667,13376.7141446,23.8397203053,23.8401925928,23.84,1.18103114901,0.0
1891,23.8405999419,1.7,103.333333333,13376.7141446,23.8405999419,23.8396289301,23.84,1.18103114901,0.0
1892,23.8399323698,1.7,102.5,13376.7141446,23.8399323698,23.8398356518,23.84,1.18103114901,0.0
1893,23.8404771936,1.7,101.666666667,13376.7141446,23.8404771936,23.8396898547,23.84,1.18103114901,0.0
1894,23.8404675709,1.7,100.833333333,13376.7141446,23.8404675709,23.8396767436,23.84,1.18103114901,0.0
1895,23.8398305422,1.7,100.0,13376.7141446,23.8398305422,23.8406183694,23.84,1.18103114901,0.0
